,PlayersCount,HighCard Wins Pocket,OnePair Wins Pocket,TwoPair Wins Pocket,Trips Wins Pocket,Straight Wins Pocket,Flush Wins Pocket,FullHouse Wins Pocket,Quads Wins Pocket,StraightFlush Wins Pocket
0,2,6.02,36.68,31.06,7.22,8.28,5.680000000000001,4.68,0.35000000000000003,0.03
1,3,1.92,29.459999999999997,34.33,9.59,10.8,6.92,6.4399999999999995,0.45999999999999996,0.08
2,4,0.63,24.55,33.44,11.24,12.91,8.290000000000001,8.21,0.6,0.13
3,5,0.22999999999999998,19.62,32.28,12.55,14.719999999999999,9.959999999999999,9.77,0.6799999999999999,0.19
4,6,0.02,15.75,31.319999999999997,13.8,16.93,10.59,10.66,0.74,0.19
5,7,0.02,13.36,29.020000000000003,14.44,17.73,11.88,12.47,0.8999999999999999,0.18
6,8,0.01,11.25,25.94,15.89,19.17,12.82,13.66,1.08,0.18
7,9,0.01,9.64,24.84,17.4,19.34,13.05,14.23,1.2,0.29
